location,greenup
1292-SE,17640
1292-SW,17640
1293-NE,17647
1293-NW,17647
1293-SE,17647
19-NE,17670
267-SW,17654
403-NE,17650
403-NW,17650
434-NE,17646
434-NW,17646
434-SE,17646
6-NW,17286
727-SW,17655
93-NE,16922
AM-423-NW,16532.35294
AM-425-NE,16528
AM-426-NE,16544
OG-4-12-A,16561
OG-4-12-C,16563.82353
OG-4-12-D,16557
BG-4-56,16560
OG-4-11-E,16564
Y-23-264-A,16546.66667
OG-2-8-B,16564
OG-2-9-E,16564
BG-2-73,16541
BG-4-22,16526
OG-34-121-A,16547
Y-23-352-NW,16543.11765
BG-2-63,16533
BG-4-50,16539.25
BG-4-60,16541
BG-4-29,16562
BG-4-40,16534.29412
OG-27-93-B,16533.11765
OG-30-108-C,16562
OG-30-108-E,16536.5
BG-2-24,16567.05556
BG-2-34,16555
BG-3-48,16543.66667
633-SW,16552
791-SW,16529
BG-6-32,16941
BG-6-53,16923
Y-30-329-CT,16902.76471
BG-6-94,16924
Y-21-280-NW,16904.76471
BG-7-29,16897.66667
Y-14-391-SW,16892
Y-31-331-NW,16881
Y-24-234-A,16928.5
BG-9-29,16896
BG-9-3,16913
OG-10-37-E,16914
BG-9-84,16909
BG-9-65,16831
BG-9-70,16910
BG-9-87,16912.58824
Y-39-414-A,16916.75
Y-39-414-B2,16917
Y-39-414-E,16914
OG-10-42-A,16915
OG-10-42-C,16911
BG-10-26,16901.23529
BG-10-8,16909
Y-13-399-B,16908
OG-11-43-B,16910
OG-11-43-D,16904.94118
OG-1-4-C,16912
OG-1-5-C,16906.70588
OG-1-5-E,16912
BG-10-57,16899
Y-21-464-E,16899
Y-19-273-CT2,16896
Y-21-464-B,16908.70588
Y-16-372-D,16914
BG-9-15,16911
BG-9-23,16914.58824
BG-5-73,16923.41176
BG-9-2,16909
BG-5-91,16868
BG-10-18,16895
BG-10-19,16878
BG-10-53,16910
BG-10-10,16914
BG-10-98,16923
OG-39-109-A,16909.375
OG-39-109-E,16917
Y-7-262-NW,16912.22222
BG-9-5,16915
BG-9-49,16897
BG-9-52,16898.76471
OG-9-40-E,16911.4375
BG-9-81,16907
BG-9-63,16908
BG-9-77,16913
BG-9-89,16912.61538
BG-6-34,16921.29412
BG-6-12,16899
BG-7-1,16898
BG-7-16,16888
OG-4-12-C,16914.47059
OG-17-59-D,16898
Y-39-416-D2,16920
OG-19-73-D,16915
OG-19-74-E,16907
923-NE,16907.41176
956-SE,16918
958-SW,16930.5
538-NE,16894
122-NE,16922
65-SW,16930
272-SE,16908
301-NW,16930.66667
BG-13-6,17279
AM-441-NW,17265
AM-442-CT,17279
AM-442-NW,17283
AM-442-SE,17282
AM-442-SW,17270
RS-19-NW,17260
Y-31-331-CT,17267.70588
Y-31-331-NE,17263
Y-31-331-NW,17253
Y-31-331-SW,17231
Y-31-333-CT,17254
Y-31-333-NE,17284
AM-423-CT,17140
BG-12-59,17289.41176
BG-12-92,17294
BG-13-19,17261
BG-12-64,17290
BG-12-74,17294
BG-13-81,17278.0625
OG-3-10-E,17290
OG-8-33-A,17285
OG-2-6-C,17284
OG-2-7-B,17292
OG-2-7-C,17290
RS-27-G,17293
BG-12-69,17285
BG-12-75,17297.05882
BG-14-57,17267
BG-14-68,17285
OG-16-58-C,17284.11765
BG-12-25,17283
BG-12-44,17287.17647
BG-13-41,17267.52941
BG-13-53,17289
OG-2-8-E,17291.23529
OG-6-25-B,17197
1210-SW,17286
1265-NW,17224.8125
1292-NE,17309
1322-SE,17191
154-SW,17222
183-SW,17263.21053
210-NE,17252
36-NW,17299
416-SE,17223.4375
691-NE,17297
1466-NE,17289
1467-SE,17276
1427-SE,17273
1425-NE,17248
BG-17-83,17651.25
Y-23-288-CT,17652
676-SW,17655
676-SE,17655
676-NW,17655
469-NE,17649
469-NW,17649
1235-SE,17641
1235-NW,17641
1235-SW,17641
557-NW,17650
557-NE,17650
898-SE,17654
898-SW,17654
526-SE,17657
526-SW,17657
LPRETN-700-12,17649.875
161-SE,17650
S-E0-31-8,17656
250-SE,17641
221-NW,17656.94444
281-NW,17653
281-NE,17653
WLNP-16-5,17657
279-NW,17649
191-NW,17649.73684
191-NE,17649.73684
1264-NW,17557
1082-SW,17674
1082-NW,17674
CHPP-WP-2,17641
280-NW,17657
305-SE,17652
305-NE,17652
307-SE,17643
1081-NE,17649
1081-SW,17649
1081-NW,17649
160-NW,17662
160-NE,17662
160-SE,17662
160-SW,17662
304-SE,17647
304-NW,17647
190-NE,17650
WLNP-2-3,17714
306-NE,17643
251-SE,17651
249-NW,17650
249-SE,17650
ELE-5-2,17629
538-NW,16529
122-NW,16571
1539-NW,16544.53333
64-NW,16568
92-NW,16574
538-NW,16894
122-NW,16922
65-NW,16930
272-NW,16908
301-NW,16930.66667
1539-NW,16918.06667
64-NW,16936
92-NW,16942
