"","latitude","longitude","month","snc"
"1",59.94268,-111.849083,1,0.8857421875
"2",59.94268,-111.849083,2,0.8857421875
"3",59.94268,-111.849083,3,0.8857421875
"4",59.94268,-111.849083,4,0.8857421875
"5",59.94268,-111.849083,5,0.842883692847358
"6",59.94268,-111.849083,6,0.175508178563582
"7",59.94268,-111.849083,7,0
"8",59.94268,-111.849083,8,0
"9",59.94268,-111.849083,9,0.0902144845782055
"10",59.94268,-111.849083,10,0.731769079135524
"11",59.94268,-111.849083,11,0.861138237847222
"12",59.94268,-111.849083,12,0.861138237847222
"13",59.842426,-110.768616,1,0.6923828125
"14",59.842426,-110.768616,2,0.6923828125
"15",59.842426,-110.768616,3,0.6923828125
"16",59.842426,-110.768616,4,0.6923828125
"17",59.842426,-110.768616,5,0.675011197725932
"18",59.842426,-110.768616,6,0.180788850618733
"19",59.842426,-110.768616,7,0
"20",59.842426,-110.768616,8,0.000620414709879292
"21",59.842426,-110.768616,9,0.0897533302712772
"22",59.842426,-110.768616,10,0.588773554397954
"23",59.842426,-110.768616,11,0.673149956597222
"24",59.842426,-110.768616,12,0.673149956597222
"25",59.607685,-110.419456,1,0.6923828125
"26",59.607685,-110.419456,2,0.6923828125
"27",59.607685,-110.419456,3,0.6923828125
"28",59.607685,-110.419456,4,0.6923828125
"29",59.607685,-110.419456,5,0.678733686606089
"30",59.607685,-110.419456,6,0.198098419855038
"31",59.607685,-110.419456,7,0
"32",59.607685,-110.419456,8,0.000620414709879292
"33",59.607685,-110.419456,9,0.0859067586974965
"34",59.607685,-110.419456,10,0.588773554397954
"35",59.607685,-110.419456,11,0.673149956597222
"36",59.607685,-110.419456,12,0.673149956597222
"37",59.510143,-111.286217,1,0.9638671875
"38",59.510143,-111.286217,2,0.9638671875
"39",59.510143,-111.286217,3,0.9638671875
"40",59.510143,-111.286217,4,0.9638671875
"41",59.510143,-111.286217,5,0.939684137701988
"42",59.510143,-111.286217,6,0.248106558289793
"43",59.510143,-111.286217,7,0
"44",59.510143,-111.286217,8,0.00259104076152047
"45",59.510143,-111.286217,9,0.124945749011305
"46",59.510143,-111.286217,10,0.815314176181952
"47",59.510143,-111.286217,11,0.937093098958333
"48",59.510143,-111.286217,12,0.937093098958333
"49",59.31958,-111.284081,1,0.9638671875
"50",59.31958,-111.284081,2,0.9638671875
"51",59.31958,-111.284081,3,0.9638671875
"52",59.31958,-111.284081,4,0.9638671875
"53",59.31958,-111.284081,5,0.956957742571831
"54",59.31958,-111.284081,6,0.335568580983414
"55",59.31958,-111.284081,7,0
"56",59.31958,-111.284081,8,0.00950048289572199
"57",59.31958,-111.284081,9,0.157074654267894
"58",59.31958,-111.284081,10,0.84295194182131
"59",59.31958,-111.284081,11,0.937093098958333
"60",59.31958,-111.284081,12,0.937093098958333
"61",59.318275,-110.953598,1,0.9423828125
"62",59.318275,-110.953598,2,0.9423828125
"63",59.318275,-110.953598,3,0.9423828125
"64",59.318275,-110.953598,4,0.9423828125
"65",59.318275,-110.953598,5,0.935627377695508
"66",59.318275,-110.953598,6,0.317617912880248
"67",59.318275,-110.953598,7,0
"68",59.318275,-110.953598,8,0.00253328712036212
"69",59.318275,-110.953598,9,0.142230002106064
"70",59.318275,-110.953598,10,0.803896445367071
"71",59.318275,-110.953598,11,0.916205512152778
"72",59.318275,-110.953598,12,0.916205512152778
"73",59.18782,-111.372108,1,0.9638671875
"74",59.18782,-111.372108,2,0.9638671875
"75",59.18782,-111.372108,3,0.9638671875
"76",59.18782,-111.372108,4,0.9638671875
"77",59.18782,-111.372108,5,0.956957742571831
"78",59.18782,-111.372108,6,0.335568580983414
"79",59.18782,-111.372108,7,0
"80",59.18782,-111.372108,8,0.00950048289572199
"81",59.18782,-111.372108,9,0.157074654267894
"82",59.18782,-111.372108,10,0.84295194182131
"83",59.18782,-111.372108,11,0.937093098958333
"84",59.18782,-111.372108,12,0.937093098958333
"85",59.160793,-111.064606,1,0.9423828125
"86",59.160793,-111.064606,2,0.9423828125
"87",59.160793,-111.064606,3,0.9423828125
"88",59.160793,-111.064606,4,0.9423828125
"89",59.160793,-111.064606,5,0.935627377695508
"90",59.160793,-111.064606,6,0.317617912880248
"91",59.160793,-111.064606,7,0
"92",59.160793,-111.064606,8,0.00253328712036212
"93",59.160793,-111.064606,9,0.142230002106064
"94",59.160793,-111.064606,10,0.803896445367071
"95",59.160793,-111.064606,11,0.916205512152778
"96",59.160793,-111.064606,12,0.916205512152778
"97",58.93523,-111.107582,1,0.9423828125
"98",58.93523,-111.107582,2,0.9423828125
"99",58.93523,-111.107582,3,0.9423828125
"100",58.93523,-111.107582,4,0.9423828125
"101",58.93523,-111.107582,5,0.935627377695508
"102",58.93523,-111.107582,6,0.320235642914971
"103",58.93523,-111.107582,7,0
"104",58.93523,-111.107582,8,0.00928871923436721
"105",58.93523,-111.107582,9,0.16840730390201
"106",58.93523,-111.107582,10,0.814029596745968
"107",58.93523,-111.107582,11,0.916205512152778
"108",58.93523,-111.107582,12,0.916205512152778
"109",58.93523,-111.107582,1,0.9423828125
"110",58.93523,-111.107582,2,0.9423828125
"111",58.93523,-111.107582,3,0.9423828125
"112",58.93523,-111.107582,4,0.9423828125
"113",58.93523,-111.107582,5,0.935627377695508
"114",58.93523,-111.107582,6,0.320235642914971
"115",58.93523,-111.107582,7,0
"116",58.93523,-111.107582,8,0.00928871923436721
"117",58.93523,-111.107582,9,0.16840730390201
"118",58.93523,-111.107582,10,0.814029596745968
"119",58.93523,-111.107582,11,0.916205512152778
"120",58.93523,-111.107582,12,0.916205512152778
"121",58.704395,-110.185188,1,1
"122",58.704395,-110.185188,2,1
"123",58.704395,-110.185188,3,1
"124",58.704395,-110.185188,4,1
"125",58.704395,-110.185188,5,0.994623654418521
"126",58.704395,-110.185188,6,0.405555559529199
"127",58.704395,-110.185188,7,0.0277777777777778
"128",58.704395,-110.185188,8,0.0376344083084
"129",58.704395,-110.185188,9,0.175925930237604
"130",58.704395,-110.185188,10,0.863799282246166
"131",58.704395,-110.185188,11,0.972222222222222
"132",58.704395,-110.185188,12,0.972222222222222
"133",59.170574,-118.207489,1,0.375
"134",59.170574,-118.207489,2,0.375
"135",59.170574,-118.207489,3,0.375
"136",59.170574,-118.207489,4,0.371527776949935
"137",59.170574,-118.207489,5,0.181115587241948
"138",59.170574,-118.207489,6,0.000347222253266308
"139",59.170574,-118.207489,7,0
"140",59.170574,-118.207489,8,0
"141",59.170574,-118.207489,9,0.00451388908550143
"142",59.170574,-118.207489,10,0.204637092331217
"143",59.170574,-118.207489,11,0.36388888872332
"144",59.170574,-118.207489,12,0.364583333333333
"145",59.170574,-118.207489,1,0.375
"146",59.170574,-118.207489,2,0.375
"147",59.170574,-118.207489,3,0.375
"148",59.170574,-118.207489,4,0.371527776949935
"149",59.170574,-118.207489,5,0.181115587241948
"150",59.170574,-118.207489,6,0.000347222253266308
"151",59.170574,-118.207489,7,0
"152",59.170574,-118.207489,8,0
"153",59.170574,-118.207489,9,0.00451388908550143
"154",59.170574,-118.207489,10,0.204637092331217
"155",59.170574,-118.207489,11,0.36388888872332
"156",59.170574,-118.207489,12,0.364583333333333
"157",59.170574,-118.207489,1,0.375
"158",59.170574,-118.207489,2,0.375
"159",59.170574,-118.207489,3,0.375
"160",59.170574,-118.207489,4,0.371527776949935
"161",59.170574,-118.207489,5,0.181115587241948
"162",59.170574,-118.207489,6,0.000347222253266308
"163",59.170574,-118.207489,7,0
"164",59.170574,-118.207489,8,0
"165",59.170574,-118.207489,9,0.00451388908550143
"166",59.170574,-118.207489,10,0.204637092331217
"167",59.170574,-118.207489,11,0.36388888872332
"168",59.170574,-118.207489,12,0.364583333333333
"169",59.170574,-118.207489,1,0.375
"170",59.170574,-118.207489,2,0.375
"171",59.170574,-118.207489,3,0.375
"172",59.170574,-118.207489,4,0.371527776949935
"173",59.170574,-118.207489,5,0.181115587241948
"174",59.170574,-118.207489,6,0.000347222253266308
"175",59.170574,-118.207489,7,0
"176",59.170574,-118.207489,8,0
"177",59.170574,-118.207489,9,0.00451388908550143
"178",59.170574,-118.207489,10,0.204637092331217
"179",59.170574,-118.207489,11,0.36388888872332
"180",59.170574,-118.207489,12,0.364583333333333
"181",59.192176,-117.813477,1,0.828125
"182",59.192176,-117.813477,2,0.828125
"183",59.192176,-117.813477,3,0.828125
"184",59.192176,-117.813477,4,0.828125
"185",59.192176,-117.813477,5,0.714591732455624
"186",59.192176,-117.813477,6,0.0513744235763119
"187",59.192176,-117.813477,7,0
"188",59.192176,-117.813477,8,0
"189",59.192176,-117.813477,9,0.0214699087664485
"190",59.192176,-117.813477,10,0.547631041871177
"191",59.192176,-117.813477,11,0.805121527777778
"192",59.192176,-117.813477,12,0.805121527777778
"193",58.498306,-110.255699,1,1
"194",58.498306,-110.255699,2,1
"195",58.498306,-110.255699,3,1
"196",58.498306,-110.255699,4,1
"197",58.498306,-110.255699,5,0.997311827209261
"198",58.498306,-110.255699,6,0.486111116078165
"199",58.498306,-110.255699,7,0.0277777777777778
"200",58.498306,-110.255699,8,0.0376344083084
"201",58.498306,-110.255699,9,0.17129630015956
"202",58.498306,-110.255699,10,0.870071684320768
"203",58.498306,-110.255699,11,0.972222222222222
"204",58.498306,-110.255699,12,0.972222222222222
"205",58.980861,-117.833282,1,0.375
"206",58.980861,-117.833282,2,0.375
"207",58.980861,-117.833282,3,0.375
"208",58.980861,-117.833282,4,0.375
"209",58.980861,-117.833282,5,0.290658597730928
"210",58.980861,-117.833282,6,0.00694444465140502
"211",58.980861,-117.833282,7,0
"212",58.980861,-117.833282,8,0
"213",58.980861,-117.833282,9,0.00833333392317096
"214",58.980861,-117.833282,10,0.244959673326876
"215",58.980861,-117.833282,11,0.364583333333333
"216",58.980861,-117.833282,12,0.364583333333333
"217",58.945358,-117.481285,1,0.796875
"218",58.945358,-117.481285,2,0.796875
"219",58.945358,-117.481285,3,0.796875
"220",58.945358,-117.481285,4,0.796875
"221",58.945358,-117.481285,5,0.688340050478776
"222",58.945358,-117.481285,6,0.0464843747516473
"223",58.945358,-117.481285,7,0
"224",58.945358,-117.481285,8,0
"225",58.945358,-117.481285,9,0.0206597223877907
"226",58.945358,-117.481285,10,0.526965716646777
"227",58.945358,-117.481285,11,0.774739583333333
"228",58.945358,-117.481285,12,0.774739583333333
"229",58.945358,-117.481285,1,0.796875
"230",58.945358,-117.481285,2,0.796875
"231",58.945358,-117.481285,3,0.796875
"232",58.945358,-117.481285,4,0.796875
"233",58.945358,-117.481285,5,0.688340050478776
"234",58.945358,-117.481285,6,0.0464843747516473
"235",58.945358,-117.481285,7,0
"236",58.945358,-117.481285,8,0
"237",58.945358,-117.481285,9,0.0206597223877907
"238",58.945358,-117.481285,10,0.526965716646777
"239",58.945358,-117.481285,11,0.774739583333333
"240",58.945358,-117.481285,12,0.774739583333333
"241",58.363522,-110.99514,1,0.9892578125
"242",58.363522,-110.99514,2,0.9892578125
"243",58.363522,-110.99514,3,0.9892578125
"244",58.363522,-110.99514,4,0.9892578125
"245",58.363522,-110.99514,5,0.985712086160978
"246",58.363522,-110.99514,6,0.464401593638791
"247",58.363522,-110.99514,7,0.0274793836805556
"248",58.363522,-110.99514,8,0.0398894267984562
"249",58.363522,-110.99514,9,0.181363941066795
"250",58.363522,-110.99514,10,0.874908114473025
"251",58.363522,-110.99514,11,0.961778428819444
"252",58.363522,-110.99514,12,0.961778428819444
"253",58.754405,-117.53981,1,0.8857421875
"254",58.754405,-117.53981,2,0.8857421875
"255",58.754405,-117.53981,3,0.8857421875
"256",58.754405,-117.53981,4,0.8857421875
"257",58.754405,-117.53981,5,0.760341404212846
"258",58.754405,-117.53981,6,0.0631501400946743
"259",58.754405,-117.53981,7,0
"260",58.754405,-117.53981,8,0
"261",58.754405,-117.53981,9,0.0303448727354407
"262",58.754405,-117.53981,10,0.627003870904446
"263",58.754405,-117.53981,11,0.861138237847222
"264",58.754405,-117.53981,12,0.861138237847222
"265",58.374332,-112.436066,1,0.765625
"266",58.374332,-112.436066,2,0.765625
"267",58.374332,-112.436066,3,0.765625
"268",58.374332,-112.436066,4,0.765625
"269",58.374332,-112.436066,5,0.761508734689819
"270",58.374332,-112.436066,6,0.303414355756508
"271",58.374332,-112.436066,7,0.0212673611111111
"272",58.374332,-112.436066,8,0.0240115370187494
"273",58.374332,-112.436066,9,0.133275466660659
"274",58.374332,-112.436066,10,0.667520720097754
"275",58.374332,-112.436066,11,0.744357638888889
"276",58.374332,-112.436066,12,0.744357638888889
"277",58.153949,-110.411049,1,0.9794921875
"278",58.153949,-110.411049,2,0.9794921875
"279",58.153949,-110.411049,3,0.9794921875
"280",58.153949,-110.411049,4,0.9794921875
"281",58.153949,-110.411049,5,0.976859144038624
"282",58.153949,-110.411049,6,0.476142038487726
"283",58.153949,-110.411049,7,0.0272081163194444
"284",58.153949,-110.411049,8,0.0403733346611261
"285",58.153949,-110.411049,9,0.172318073610465
"286",58.153949,-110.411049,10,0.853983780576123
"287",58.153949,-110.411049,11,0.952284071180556
"288",58.153949,-110.411049,12,0.952284071180556
"289",58.670001,-118.279434,1,0.40087890625
"290",58.670001,-118.279434,2,0.40087890625
"291",58.670001,-118.279434,3,0.40087890625
"292",58.670001,-118.279434,4,0.40050772163603
"293",58.670001,-118.279434,5,0.215526292876651
"294",58.670001,-118.279434,6,0.000371184200048447
"295",58.670001,-118.279434,7,0
"296",58.670001,-118.279434,8,0
"297",58.670001,-118.279434,9,0.0133626308913032
"298",58.670001,-118.279434,10,0.255757864150736
"299",58.670001,-118.279434,11,0.389743381076389
"300",58.670001,-118.279434,12,0.389743381076389
"301",58.670001,-118.279434,1,0.40087890625
"302",58.670001,-118.279434,2,0.40087890625
"303",58.670001,-118.279434,3,0.40087890625
"304",58.670001,-118.279434,4,0.40050772163603
"305",58.670001,-118.279434,5,0.215526292876651
"306",58.670001,-118.279434,6,0.000371184200048447
"307",58.670001,-118.279434,7,0
"308",58.670001,-118.279434,8,0
"309",58.670001,-118.279434,9,0.0133626308913032
"310",58.670001,-118.279434,10,0.255757864150736
"311",58.670001,-118.279434,11,0.389743381076389
"312",58.670001,-118.279434,12,0.389743381076389
"313",58.663471,-117.926727,1,0.40087890625
"314",58.663471,-117.926727,2,0.40087890625
"315",58.663471,-117.926727,3,0.40087890625
"316",58.663471,-117.926727,4,0.40087890625
"317",58.663471,-117.926727,5,0.31143549291624
