"","latitude","longitude","month","snc"
"1",55.696403,-111.010691,1,0.84375
"2",55.696403,-111.010691,2,0.84375
"3",55.696403,-111.010691,3,0.84375
"4",55.696403,-111.010691,4,0.84375
"5",55.696403,-111.010691,5,0.84375
"6",55.696403,-111.010691,6,0.415625005650024
"7",55.696403,-111.010691,7,0.0234375
"8",55.696403,-111.010691,8,0.0219254030121697
"9",55.696403,-111.010691,9,0.085937502897448
"10",55.696403,-111.010691,10,0.708417336973879
"11",55.696403,-111.010691,11,0.8203125
"12",55.696403,-111.010691,12,0.8203125
"13",54.814088,-111.510288,1,0.9267578125
"14",54.814088,-111.510288,2,0.9267578125
"15",54.814088,-111.510288,3,0.9267578125
"16",54.814088,-111.510288,4,0.9267578125
"17",54.814088,-111.510288,5,0.9267578125
"18",54.814088,-111.510288,6,0.464237019833591
"19",54.814088,-111.510288,7,0.0257432725694444
"20",54.814088,-111.510288,8,0.0240824156337314
"21",54.814088,-111.510288,9,0.151885311326219
"22",54.814088,-111.510288,10,0.82129342854023
"23",54.814088,-111.510288,11,0.901014539930556
"24",54.814088,-111.510288,12,0.901014539930556
"25",54.813985,-111.500577,1,0.9267578125
"26",54.813985,-111.500577,2,0.9267578125
"27",54.813985,-111.500577,3,0.9267578125
"28",54.813985,-111.500577,4,0.9267578125
"29",54.813985,-111.500577,5,0.9267578125
"30",54.813985,-111.500577,6,0.464237019833591
"31",54.813985,-111.500577,7,0.0257432725694444
"32",54.813985,-111.500577,8,0.0240824156337314
"33",54.813985,-111.500577,9,0.151885311326219
"34",54.813985,-111.500577,10,0.82129342854023
"35",54.813985,-111.500577,11,0.901014539930556
"36",54.813985,-111.500577,12,0.901014539930556
"37",54.813448,-111.482131,1,0.9267578125
"38",54.813448,-111.482131,2,0.9267578125
"39",54.813448,-111.482131,3,0.9267578125
"40",54.813448,-111.482131,4,0.9267578125
"41",54.813448,-111.482131,5,0.9267578125
"42",54.813448,-111.482131,6,0.464237019833591
"43",54.813448,-111.482131,7,0.0257432725694444
"44",54.813448,-111.482131,8,0.0240824156337314
"45",54.813448,-111.482131,9,0.151885311326219
"46",54.813448,-111.482131,10,0.82129342854023
"47",54.813448,-111.482131,11,0.901014539930556
"48",54.813448,-111.482131,12,0.901014539930556
"49",54.938306,-112.648548,1,0.828125
"50",54.938306,-112.648548,2,0.828125
"51",54.938306,-112.648548,3,0.828125
"52",54.938306,-112.648548,4,0.828125
"53",54.938306,-112.648548,5,0.828125
"54",54.938306,-112.648548,6,0.401027201364438
"55",54.938306,-112.648548,7,0.0230034722222222
"56",54.938306,-112.648548,8,0.022261425283634
"57",54.938306,-112.648548,9,0.14185475009597
"58",54.938306,-112.648548,10,0.721270156403383
"59",54.938306,-112.648548,11,0.805121527777778
"60",54.938306,-112.648548,12,0.805121527777778
"61",55.072322,-112.000794,1,0.9375
"62",55.072322,-112.000794,2,0.9375
"63",55.072322,-112.000794,3,0.9375
"64",55.072322,-112.000794,4,0.9375
"65",55.072322,-112.000794,5,0.9375
"66",55.072322,-112.000794,6,0.456597222222222
"67",55.072322,-112.000794,7,0.0260416666666667
"68",55.072322,-112.000794,8,0.0252016128247811
"69",55.072322,-112.000794,9,0.140625
"70",55.072322,-112.000794,10,0.820732516547044
"71",55.072322,-112.000794,11,0.911458333333333
"72",55.072322,-112.000794,12,0.911458333333333
"73",56.404129,-110.969084,1,0.40087890625
"74",56.404129,-110.969084,2,0.40087890625
"75",56.404129,-110.969084,3,0.40087890625
"76",56.404129,-110.969084,4,0.40087890625
"77",56.404129,-110.969084,5,0.395131539139483
"78",56.404129,-110.969084,6,0.100219727700783
"79",56.404129,-110.969084,7,0.0111355251736111
"80",56.404129,-110.969084,8,0.0104171045952373
"81",56.404129,-110.969084,9,0.0189303932711482
"82",56.404129,-110.969084,10,0.279106550694754
"83",56.404129,-110.969084,11,0.389743381076389
"84",56.404129,-110.969084,12,0.389743381076389
"85",56.408935,-110.965969,1,0.40087890625
"86",56.408935,-110.965969,2,0.40087890625
"87",56.408935,-110.965969,3,0.40087890625
"88",56.408935,-110.965969,4,0.40087890625
"89",56.408935,-110.965969,5,0.395131539139483
"90",56.408935,-110.965969,6,0.100219727700783
"91",56.408935,-110.965969,7,0.0111355251736111
"92",56.408935,-110.965969,8,0.0104171045952373
"93",56.408935,-110.965969,9,0.0189303932711482
"94",56.408935,-110.965969,10,0.279106550694754
"95",56.408935,-110.965969,11,0.389743381076389
"96",56.408935,-110.965969,12,0.389743381076389
"97",56.426223,-110.975049,1,0.40087890625
"98",56.426223,-110.975049,2,0.40087890625
"99",56.426223,-110.975049,3,0.40087890625
"100",56.426223,-110.975049,4,0.40087890625
"101",56.426223,-110.975049,5,0.395131539139483
"102",56.426223,-110.975049,6,0.100219727700783
"103",56.426223,-110.975049,7,0.0111355251736111
"104",56.426223,-110.975049,8,0.0104171045952373
"105",56.426223,-110.975049,9,0.0189303932711482
"106",56.426223,-110.975049,10,0.279106550694754
"107",56.426223,-110.975049,11,0.389743381076389
"108",56.426223,-110.975049,12,0.389743381076389
"109",56.43094,-110.975759,1,0.40087890625
"110",56.43094,-110.975759,2,0.40087890625
"111",56.43094,-110.975759,3,0.40087890625
"112",56.43094,-110.975759,4,0.40087890625
"113",56.43094,-110.975759,5,0.395131539139483
"114",56.43094,-110.975759,6,0.100219727700783
"115",56.43094,-110.975759,7,0.0111355251736111
"116",56.43094,-110.975759,8,0.0104171045952373
"117",56.43094,-110.975759,9,0.0189303932711482
"118",56.43094,-110.975759,10,0.279106550694754
"119",56.43094,-110.975759,11,0.389743381076389
"120",56.43094,-110.975759,12,0.389743381076389
"121",56.314492,-110.968348,1,0.7236328125
"122",56.314492,-110.968348,2,0.7236328125
"123",56.314492,-110.968348,3,0.7236328125
"124",56.314492,-110.968348,4,0.7236328125
"125",56.314492,-110.968348,5,0.7236328125
"126",56.314492,-110.968348,6,0.361146374502116
"127",56.314492,-110.968348,7,0.0201009114583333
"128",56.314492,-110.968348,8,0.018804078300794
"129",56.314492,-110.968348,9,0.0422119147454699
"130",56.314492,-110.968348,10,0.564122344056765
"131",56.314492,-110.968348,11,0.703531901041667
"132",56.314492,-110.968348,12,0.703531901041667
"133",55.445071,-110.887936,1,0.84375
"134",55.445071,-110.887936,2,0.84375
"135",55.445071,-110.887936,3,0.84375
"136",55.445071,-110.887936,4,0.84375
"137",55.445071,-110.887936,5,0.84375
"138",55.445071,-110.887936,6,0.421875001448724
"139",55.445071,-110.887936,7,0.0234375
"140",55.445071,-110.887936,8,0.0219254030121697
"141",55.445071,-110.887936,9,0.110156251738469
