organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-17 20:48:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-17 20:48:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-18 15:00:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-18 15:00:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-19 12:00:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-19 12:00:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-25 15:00:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-29 00:00:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-03-29 00:00:00,-114.334320,53.646213,60s None,Bad Weather,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-02 21:19:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-02 21:19:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-05 07:32:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-05 07:32:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-16 12:00:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-16 12:00:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,PIWO,Pileated Woodpecker,Aves,1,11.62,Non-vocal,1,Foraging taps,true,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-17 19:47:00,-114.334320,53.646213,60s None,New,Alice Pearson,NONE,NONE,,,,,,,,1059
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,1081-NE,2021-04-17 19:47:00,-114.334320,53.646213,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
