organization,location,recording_date,audio_length,scientific_name,window_start_time,window_end_time,confidence
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,171.00,174.00,54.9
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,171.00,174.00,54.9
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,174.00,177.00,65.3
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,174.00,177.00,65.3
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,177.00,180.00,58.5
ABMI,1081-NE,2021-03-17 20:48:00,180,Branta canadensis,177.00,180.00,58.5
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,36.00,39.00,46.7
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,36.00,39.00,46.7
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,54.00,57.00,41.0
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,54.00,57.00,41.0
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,87.00,90.00,77.6
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,87.00,90.00,77.6
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,93.00,96.00,69.9
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,93.00,96.00,69.9
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,96.00,99.00,51.1
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,96.00,99.00,51.1
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,108.00,111.00,50.0
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,108.00,111.00,50.0
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,114.00,117.00,53.9
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,114.00,117.00,53.9
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,132.00,135.00,54.5
ABMI,1081-NE,2021-03-18 15:00:00,180,Poecile atricapillus,132.00,135.00,54.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,0.00,3.00,66.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,0.00,3.00,66.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,3.00,6.00,61.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,3.00,6.00,61.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,6.00,9.00,49.0
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,6.00,9.00,49.0
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,9.00,12.00,51.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,9.00,12.00,51.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,12.00,15.00,51.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,12.00,15.00,51.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,15.00,18.00,50.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,15.00,18.00,50.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,18.00,21.00,51.1
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,18.00,21.00,51.1
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,21.00,24.00,56.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,21.00,24.00,56.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,24.00,27.00,55.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,24.00,27.00,55.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,27.00,30.00,65.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,27.00,30.00,65.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,30.00,33.00,47.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,30.00,33.00,47.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,33.00,36.00,53.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,33.00,36.00,53.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,36.00,39.00,48.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,36.00,39.00,48.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,39.00,42.00,50.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,39.00,42.00,50.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,42.00,45.00,44.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,42.00,45.00,44.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,45.00,48.00,49.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,45.00,48.00,49.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,51.00,54.00,43.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,51.00,54.00,43.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,54.00,57.00,59.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Calyptorhynchus banksii,54.00,57.00,44.9
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,54.00,57.00,59.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Calyptorhynchus banksii,54.00,57.00,44.9
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,57.00,60.00,49.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,57.00,60.00,49.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,60.00,63.00,52.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,60.00,63.00,52.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,63.00,66.00,54.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,63.00,66.00,54.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,66.00,69.00,55.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,66.00,69.00,55.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,69.00,72.00,41.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,69.00,72.00,41.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,75.00,78.00,50.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Cyanocitta cristata,75.00,78.00,50.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,93.00,96.00,76.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,93.00,96.00,76.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,117.00,120.00,92.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,117.00,120.00,92.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,120.00,123.00,44.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,120.00,123.00,44.6
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,123.00,126.00,90.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,123.00,126.00,90.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile montanus,126.00,129.00,42.0
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile gambeli,126.00,129.00,49.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile gambeli,126.00,129.00,49.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile montanus,126.00,129.00,42.0
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,126.00,129.00,76.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,126.00,129.00,76.7
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,129.00,132.00,69.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,129.00,132.00,69.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,132.00,135.00,51.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,132.00,135.00,51.8
ABMI,1081-NE,2021-03-19 12:00:00,180,Andigena laminirostris,138.00,141.00,42.9
ABMI,1081-NE,2021-03-19 12:00:00,180,Andigena laminirostris,138.00,141.00,42.9
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,141.00,144.00,62.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,141.00,144.00,62.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Andigena laminirostris,144.00,147.00,41.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Andigena laminirostris,144.00,147.00,41.4
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,147.00,150.00,53.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Poecile atricapillus,147.00,150.00,53.2
ABMI,1081-NE,2021-03-19 12:00:00,180,Callaeas wilsoni,168.00,171.00,43.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Callaeas wilsoni,168.00,171.00,43.3
ABMI,1081-NE,2021-03-19 12:00:00,180,Psilorhinus morio,174.00,177.00,40.5
ABMI,1081-NE,2021-03-19 12:00:00,180,Psilorhinus morio,174.00,177.00,40.5
ABMI,1081-NE,2021-03-25 15:00:00,180,Poecile atricapillus,27.00,30.00,55.9
ABMI,1081-NE,2021-03-25 15:00:00,180,Acanthiza reguloides,75.00,78.00,40.5
ABMI,1081-NE,2021-03-25 15:00:00,180,Poecile atricapillus,78.00,81.00,49.2
ABMI,1081-NE,2021-03-25 15:00:00,180,Poecile atricapillus,96.00,99.00,60.3
ABMI,1081-NE,2021-03-29 00:00:00,600,Asio otus,444.00,447.00,40.1
ABMI,1081-NE,2021-03-29 00:00:00,600,Dryocopus martius,444.00,447.00,45.8
ABMI,1081-NE,2021-03-29 00:00:00,600,Asio otus,444.00,447.00,40.1
ABMI,1081-NE,2021-03-29 00:00:00,600,Dryocopus martius,444.00,447.00,45.8
ABMI,1081-NE,2021-04-02 21:19:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-02 21:19:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,414.00,417.00,58.3
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,414.00,417.00,58.3
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,417.00,420.00,57.2
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,417.00,420.00,57.2
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,423.00,426.00,64.0
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,423.00,426.00,64.0
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,426.00,429.00,40.9
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,426.00,429.00,40.9
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,429.00,432.00,70.3
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,429.00,432.00,70.3
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,591.00,594.00,48.6
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,591.00,594.00,48.6
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,594.00,597.00,40.9
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,594.00,597.00,40.9
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,597.00,600.00,49.3
ABMI,1081-NE,2021-04-05 07:32:00,600,Branta canadensis,597.00,600.00,49.3
ABMI,1081-NE,2021-04-16 12:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-16 12:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-17 19:47:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-17 19:47:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-18 08:30:00,180,Anas platyrhynchos,102.00,105.00,43.6
ABMI,1081-NE,2021-04-18 08:30:00,180,Anas platyrhynchos,102.00,105.00,43.6
ABMI,1081-NE,2021-04-21 00:00:00,600,Anas platyrhynchos,243.00,246.00,47.0
ABMI,1081-NE,2021-04-21 00:00:00,600,Anas platyrhynchos,243.00,246.00,47.0
ABMI,1081-NE,2021-04-21 02:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-21 02:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-21 15:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-21 15:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-21 19:55:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-21 19:55:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-25 00:00:00,600,Puffinus puffinus,15.00,18.00,41.4
ABMI,1081-NE,2021-04-25 00:00:00,600,Puffinus puffinus,60.00,63.00,40.9
ABMI,1081-NE,2021-04-25 00:00:00,600,Aegolius acadicus,120.00,123.00,44.9
ABMI,1081-NE,2021-04-25 00:00:00,600,Branta canadensis,123.00,126.00,40.2
ABMI,1081-NE,2021-04-25 00:00:00,600,Strix varia,150.00,153.00,43.8
ABMI,1081-NE,2021-04-25 00:00:00,600,Corvus corax,159.00,162.00,41.1
ABMI,1081-NE,2021-04-25 00:00:00,600,Psiloscops flammeolus,174.00,177.00,48.6
ABMI,1081-NE,2021-04-25 00:00:00,600,Cygnus buccinator,453.00,456.00,42.1
ABMI,1081-NE,2021-04-25 00:00:00,600,Anas acuta,501.00,504.00,41.6
ABMI,1081-NE,2021-04-25 00:00:00,600,Anas platyrhynchos,585.00,588.00,41.6
ABMI,1081-NE,2021-04-25 06:44:00,600,Turdus migratorius,72.00,75.00,44.4
ABMI,1081-NE,2021-04-25 06:44:00,600,Turdus migratorius,72.00,75.00,44.4
ABMI,1081-NE,2021-04-25 06:44:00,600,Turdus migratorius,84.00,87.00,55.7
ABMI,1081-NE,2021-04-25 06:44:00,600,Turdus migratorius,84.00,87.00,55.7
ABMI,1081-NE,2021-04-25 06:44:00,600,Tetrao urogallus,177.00,180.00,43.3
ABMI,1081-NE,2021-04-25 06:44:00,600,Tetrao urogallus,177.00,180.00,43.3
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix rufipes,480.00,483.00,45.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix rufipes,480.00,483.00,45.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,510.00,513.00,46.9
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,510.00,513.00,46.9
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix uralensis,516.00,519.00,44.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix uralensis,516.00,519.00,44.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,522.00,525.00,45.0
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,522.00,525.00,45.0
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,528.00,531.00,61.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,528.00,531.00,61.1
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,534.00,537.00,45.7
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,534.00,537.00,45.7
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,579.00,582.00,46.0
ABMI,1081-NE,2021-04-25 06:44:00,600,Strix varia,579.00,582.00,46.0
ABMI,1081-NE,2021-04-25 12:00:00,180,Corvus corax,168.00,171.00,52.4
ABMI,1081-NE,2021-04-25 12:00:00,180,Corvus corax,168.00,171.00,52.4
ABMI,1081-NE,2021-04-27 12:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-27 12:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-04-29 08:05:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-05-03 15:00:00,180,Leucophaeus pipixcan,105.00,108.00,50.7
ABMI,1081-NE,2021-05-03 15:00:00,180,Leucophaeus pipixcan,105.00,108.00,50.7
ABMI,1081-NE,2021-05-05 02:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-05-05 02:00:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-05-11 20:32:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1081-NE,2021-05-17 00:00:00,600,Empidonax minimus,102.00,105.00,50.1
ABMI,1081-NE,2021-05-17 00:00:00,600,Empidonax minimus,102.00,105.00,50.1
ABMI,1081-NE,2021-05-17 00:00:00,600,Aegolius funereus,123.00,126.00,42.1
ABMI,1081-NE,2021-05-17 00:00:00,600,Aegolius funereus,123.00,126.00,42.1
ABMI,1081-NE,2021-05-17 00:00:00,600,Branta canadensis,165.00,168.00,62.0
ABMI,1081-NE,2021-05-17 00:00:00,600,Branta canadensis,165.00,168.00,62.0
ABMI,1081-NE,2021-05-17 00:00:00,600,Empidonax minimus,558.00,561.00,82.0
ABMI,1081-NE,2021-05-17 00:00:00,600,Empidonax minimus,558.00,561.00,82.0
ABMI,1081-NE,2021-05-22 02:00:00,180,Empidonax minimus,156.00,159.00,79.3
ABMI,1081-NE,2021-05-22 02:00:00,180,Empidonax minimus,156.00,159.00,79.3
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,0.00,3.00,88.0
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,3.00,6.00,82.0
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,9.00,12.00,82.7
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,12.00,15.00,82.2
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,15.00,18.00,82.0
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,24.00,27.00,82.2
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,27.00,30.00,85.5
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,36.00,39.00,86.9
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,48.00,51.00,68.6
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,51.00,54.00,76.9
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,60.00,63.00,47.8
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,63.00,66.00,76.0
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,69.00,72.00,81.3
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,72.00,75.00,71.9
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,81.00,84.00,91.7
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,84.00,87.00,90.5
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,87.00,90.00,88.8
ABMI,1081-NE,2021-05-22 15:00:00,180,Phylloscopus cantator,96.00,99.00,45.0
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,99.00,102.00,83.1
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,108.00,111.00,93.2
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,111.00,114.00,80.1
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,114.00,117.00,84.9
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,117.00,120.00,88.3
ABMI,1081-NE,2021-05-22 15:00:00,180,Empidonax minimus,120.00,123.00,83.8
