organization,project_name,location,recording_date,method,status,observer,longitude,latitude,hide_location,buffer,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitatiohourly_wind_speed,hourly_visibility_km,hourly_station_pressuren_mm,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,url,source_file_name,observer_id
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-05 10:30:00,180s None,Transcribed,Austin Zeller,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY CS,368.80m,99km,-19.20,5.60,-6.80,,,0.00,28.00,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-0.93,-39.03,2,0.021907,-0.95944,0.962239,-0.33,-1.93,-36.65,2,0.032362,-0.952797,0.952292,-0.42,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138923,ABMI-0633-SW_0+1_20150305_103000.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-07 10:25:00,180s None,Transcribed,Justin Zhu,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY A,369.10m,98km,-4.60,5.80,0.60,,,0.00,,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-4.16,-42.98,2,0.021809,-0.951431,0.953176,-0.42,-9.6,-35.12,2,0.032399,-0.648342,0.580831,-3.76,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138920,ABMI-0633-SW_0+1_20150307_102500.wav,998
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-09 10:20:00,180s None,Transcribed,Austin Zeller,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY A,369.10m,98km,1.70,5.60,3.70,,,0.50,,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-4.78,-43.73,2,0.021614,-0.952569,0.749977,-0.42,-11.69,-35.31,2,0.032303,-0.428292,0.517836,-5.72,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138921,ABMI-0633-SW_0+1_20150309_102000.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,791-SW,2015-03-09 18:32:00,180s None,Transcribed,Austin Zeller,-112.233110,55.034576,"",5500m (Buffered location),LAC LA BICHE CLIMATE,567.00m,32km,-0.30,6.90,3.30,,,0.00,14.00,LAC LA BICHE CLIMATE,567.00m,32km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-256)@1.5m,-10.54,-36.27,2,0.022919,-0.363854,0.530006,-5.51,-20.9,-34.96,2,0.026872,-0.12171,0.150322,-16.46,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138983,ABMI-0791-SW_0+1_20150309_183200.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-11 10:15:00,180s None,Transcribed,Austin Zeller,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY A,369.10m,98km,-7.80,-1.30,-4.60,,,0.00,,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-1.1,-39.65,2,0.022267,-0.973192,0.971489,-0.24,-3.31,-35.36,2,0.032387,-0.953288,0.953746,-0.41,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138922,ABMI-0633-SW_0+1_20150311_101500.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,791-SW,2015-03-11 10:15:00,180s None,Transcribed,Austin Zeller,-112.233110,55.034576,"",5500m (Buffered location),LAC LA BICHE CLIMATE,567.00m,32km,-3.10,3.30,0.10,,,0.00,5.00,LAC LA BICHE CLIMATE,567.00m,32km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-256)@1.5m,-23.14,-35.72,2,0.022912,-0.07878,0.136753,-17.28,-24.61,-33.19,2,0.027188,-0.053977,0.117598,-18.59,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138984,ABMI-0791-SW_0+1_20150311_101500.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-13 10:10:00,180s None,Transcribed,Austin Zeller,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY A,369.10m,98km,-0.50,13.50,6.50,,,0.00,,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-0.67,-37.98,2,0.021561,-0.997627,0.995402,-0.02,-0.77,-34.75,118,0.033527,-1,0.993969,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138924,ABMI-0633-SW_0+1_20150313_101000.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,791-SW,2015-03-13 10:10:00,180s None,Transcribed,Austin Zeller,-112.233110,55.034576,"",5500m (Buffered location),LAC LA BICHE CLIMATE,567.00m,32km,0.80,13.70,7.30,,,0.00,3.00,LAC LA BICHE CLIMATE,567.00m,32km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-256)@1.5m,-11.85,-37.07,2,0.022778,-0.283959,0.609527,-4.3,-6.79,-34.93,2,0.027081,-0.90679,0.709774,-0.85,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138985,ABMI-0791-SW_0+1_20150313_101000.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,633-SW,2015-03-15 10:05:00,180s None,Transcribed,Austin Zeller,-112.239220,55.970794,"",5500m (Buffered location),FORT MCMURRAY A,369.10m,98km,-11.70,6.30,-2.70,,,1.30,,FORT MCMURRAY A,369.10m,98km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-333)@1.5m,-0.48,-33.57,452,0.025913,-1,1,0,-0.56,-33.1,536,0.038367,-1,1,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138925,ABMI-0633-SW_0+1_20150315_100500.wav,841
ABMI,Zeller-Woodpecker Visual Scanning Project-ABMI 2021,791-SW,2015-03-15 10:05:00,180s None,Transcribed,Austin Zeller,-112.233110,55.034576,"",5500m (Buffered location),LAC LA BICHE CLIMATE,567.00m,32km,-4.70,8.40,1.90,,,0.20,,LAC LA BICHE CLIMATE,567.00m,32km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-256)@1.5m,-0.61,-31.46,,0.024155,-1,1,0,-0.61,-33.93,,0.028456,-1,1,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=138987,ABMI-0791-SW_0+1_20150315_100500.wav,841
