organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 00:00:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 01:00:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 02:00:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 04:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 05:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 05:34:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 06:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 07:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,8.78,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 07:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,54.94,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 08:04:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 12:00:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 15:00:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 20:20:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 21:20:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 22:20:00,-110.578126,55.816164,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 00:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 01:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 03:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 04:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 05:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,48.43,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 06:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,30.83,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 06:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,10.53,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 06:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,56.26,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 06:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,41.60,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 07:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,PIWO,Pileated Woodpecker,Aves,1,8.16,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 07:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,PIWO,Pileated Woodpecker,Aves,1,31.80,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 07:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,PIWO,Pileated Woodpecker,Aves,1,50.66,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 08:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 09:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 10:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 11:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,DOWO,Downy Woodpecker,Aves,1,46.15,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 12:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 13:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 14:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 15:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 16:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 17:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 18:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 19:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 20:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 21:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 22:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 23:00:00,-110.582900,55.818921,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 00:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 01:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 03:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 04:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 05:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 06:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,HAWO,Hairy Woodpecker,Aves,1,43.63,Song,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 06:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,HAWO,Hairy Woodpecker,Aves,1,35.81,Non-vocal,1,,false,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 06:00:00,-111.142482,55.931393,60s None,Transcribed,Austin Zeller,PIWO,Pileated Woodpecker,Aves,1,13.38,Song,1,,false,841
