organization,location,recording_date,audio_length,scientific_name,window_start_time,window_end_time,confidence
BU,AM-423-CT,2017-05-04 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 01:00:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 02:00:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 04:04:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 05:04:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 05:34:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 06:04:00,600,Phasianus colchicus,381.00,384.00,43.8
BU,AM-423-CT,2017-05-04 06:04:00,600,Colaptes auratus,573.00,576.00,45.3
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,3.00,6.00,56.7
BU,AM-423-CT,2017-05-04 07:04:00,180,Chloropicus namaquus,9.00,12.00,52.6
BU,AM-423-CT,2017-05-04 07:04:00,180,Sphyrapicus varius,9.00,12.00,47.1
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,18.00,21.00,54.8
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,30.00,33.00,43.8
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,42.00,45.00,44.6
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,48.00,51.00,49.0
BU,AM-423-CT,2017-05-04 07:04:00,180,Chloropicus namaquus,54.00,57.00,48.8
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,60.00,63.00,50.3
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,69.00,72.00,62.8
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,78.00,81.00,64.2
BU,AM-423-CT,2017-05-04 07:04:00,180,Chloropicus namaquus,84.00,87.00,46.5
BU,AM-423-CT,2017-05-04 07:04:00,180,Sphyrapicus varius,84.00,87.00,54.5
BU,AM-423-CT,2017-05-04 07:04:00,180,Certhia americana,90.00,93.00,64.5
BU,AM-423-CT,2017-05-04 07:04:00,180,Sphyrapicus varius,111.00,114.00,43.1
BU,AM-423-CT,2017-05-04 07:04:00,180,Chloropicus namaquus,111.00,114.00,51.7
BU,AM-423-CT,2017-05-04 08:04:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 12:00:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 15:00:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 20:20:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 21:20:00,180,*NOT GENERATED/FOUND*,,,
BU,AM-423-CT,2017-05-04 22:20:00,180,Gallinago delicata,24.00,27.00,41.3
BU,AM-423-CT,2017-05-04 22:20:00,180,Megascops albogularis,60.00,63.00,41.7
BU,AM-423-CT,2017-05-04 22:20:00,180,Megascops albogularis,81.00,84.00,41.4
BU,AM-423-CT,2017-05-04 22:20:00,180,Gallinago delicata,123.00,126.00,43.6
BU,AM-423-CT,2017-05-04 22:20:00,180,Megascops choliba,144.00,147.00,58.2
BU,AM-423-CT,2017-05-04 22:20:00,180,Gallinago delicata,153.00,156.00,43.3
BU,AM-423-CT,2017-05-04 22:20:00,180,Megascops choliba,165.00,168.00,46.1
BU,AM-423-CT,2017-05-04 22:20:00,180,Gallinago delicata,165.00,168.00,42.9
BU,AM-423-NW,2015-05-17 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,AM-423-NW,2015-05-17 01:00:00,600,*NOT GENERATED/FOUND*,,,
BU,AM-423-NW,2015-05-17 03:00:00,600,*NOT GENERATED/FOUND*,,,
