organization,project_name,location,recording_date,method,status,observer,longitude,latitude,hide_location,buffer,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitatiohourly_wind_speed,hourly_visibility_km,hourly_station_pressuren_mm,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,url,source_file_name,observer_id
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 00:00:00,60s None,Transcribed,Austin Zeller,-110.582900,55.818921,"","",FORT MCMURRAY CS,368.80m,100km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,100km,-1.90,-6.00,73,0.00,,98.66,13,6,,-4,NA,,Wildlife Acoustics+SM2+(BAYNE.025),-46.72,-53.62,2,-0.000006,-0.015503,0.014709,-36.19,-46.21,-53.25,2,-0.000006,-0.015167,0.016785,-35.5,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442319,AM-423-NW_20150517_000000.wav,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 00:00:00,60s None,Transcribed,Austin Zeller,-111.142482,55.931393,"","",FORT MCMURRAY CS,368.80m,80km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,80km,-1.90,-6.00,73,0.00,,98.66,13,6,,-4,NA,,Wildlife Acoustics+SM2+(EMCLA.009),-42.16,-49.12,2,-0.000005,-0.02066,0.021667,-33.28,-42.3,-49.89,2,-0.000006,-0.035858,0.021332,-28.91,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=441881,AM-425-NE_20150517_000000.wav,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 01:00:00,60s None,Transcribed,Austin Zeller,-110.582900,55.818921,"","",FORT MCMURRAY CS,368.80m,100km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,100km,-2.40,-6.20,75,0.00,,98.68,15,7,,-5,NA,,Wildlife Acoustics+SM2+(BAYNE.025),-45.97,-53.48,2,-0.000006,-0.016449,0.021973,-33.16,-45.13,-53.18,3,-0.000006,-0.015625,0.016907,-35.44,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442401,AM-423-NW_20150517_010000.wav,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 01:00:00,60s None,Transcribed,Austin Zeller,-111.142482,55.931393,"","",FORT MCMURRAY CS,368.80m,80km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,80km,-2.40,-6.20,75,0.00,,98.68,15,7,,-5,NA,,Wildlife Acoustics+SM2+(EMCLA.009),-41.28,-49.01,2,-0.000006,-0.041595,0.057861,-24.75,-42.17,-49.67,2,-0.000006,-0.024902,0.023407,-32.08,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442149,AM-425-NE_20150517_010000.wav,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 03:00:00,60s None,Transcribed,Austin Zeller,-110.582900,55.818921,"","",FORT MCMURRAY CS,368.80m,100km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,100km,-2.80,-7.40,70,0.00,,98.74,1,9,,-6,NA,,Wildlife Acoustics+SM2+(BAYNE.025),-16.02,-53.13,2,-0.000006,-0.249329,0.406464,-7.82,-15.64,-52.88,2,-0.000006,-0.325867,0.244843,-9.74,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=441892,AM-423-NW_20150517_030000.wav,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 03:00:00,60s None,Transcribed,Austin Zeller,-111.142482,55.931393,"","",FORT MCMURRAY CS,368.80m,80km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,80km,-2.80,-7.40,70,0.00,,98.74,1,9,,-6,NA,,Wildlife Acoustics+SM2+(EMCLA.009),-42.25,-49.15,2,-0.000006,-0.018097,0.022644,-32.9,-42.28,-49.74,2,-0.000006,-0.018341,0.021362,-33.41,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442351,AM-425-NE_20150517_030000.wav,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 04:00:00,60s None,Transcribed,Austin Zeller,-110.582900,55.818921,"","",FORT MCMURRAY CS,368.80m,100km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,100km,-2.90,-6.90,74,0.00,,98.78,1,8,,-6,NA,,Wildlife Acoustics+SM2+(BAYNE.025),-28.65,-53.02,2,-0.000006,-0.072998,0.055481,-22.73,-22.33,-52.81,2,-0.000006,-0.105438,0.1539,-16.26,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442332,AM-423-NW_20150517_040000.wav,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 04:00:00,60s None,Transcribed,Austin Zeller,-111.142482,55.931393,"","",FORT MCMURRAY CS,368.80m,80km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,80km,-2.90,-6.90,74,0.00,,98.78,1,8,,-6,NA,,Wildlife Acoustics+SM2+(EMCLA.009),-42.33,-50.09,2,-0.000005,-0.031158,0.031128,-30.13,-42.3,-50.66,2,-0.000005,-0.02002,0.02359,-32.55,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=441874,AM-425-NE_20150517_040000.wav,841
BU,AB Woodpeckers- Time of Day,AM-423-NW,2015-05-17 05:00:00,60s None,Transcribed,Austin Zeller,-110.582900,55.818921,"","",FORT MCMURRAY CS,368.80m,100km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,100km,-1.90,-5.90,74,0.00,,98.81,2,9,,-5,NA,,Wildlife Acoustics+SM2+(BAYNE.025),-38.48,-52.59,2,-0.000006,-0.049988,0.057678,-24.78,-38.91,-52.63,2,-0.000006,-0.049072,0.055969,-25.04,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442408,AM-423-NW_20150517_050000.wav,841
BU,AB Woodpeckers- Time of Day,AM-425-NE,2015-05-17 05:00:00,60s None,Transcribed,Austin Zeller,-111.142482,55.931393,"","",FORT MCMURRAY CS,368.80m,80km,-3.40,15.10,5.90,,,0.00,,FORT MCMURRAY CS,368.80m,80km,-1.90,-5.90,74,0.00,,98.81,2,9,,-5,NA,,Wildlife Acoustics+SM2+(EMCLA.009),-41.81,-50.08,2,-0.000006,-0.022369,0.023926,-32.42,-39.23,-50.52,2,-0.000006,-0.044464,0.051514,-25.76,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442146,AM-425-NE_20150517_050000.wav,841
