organization,project_name,location,recording_date,method,status,observer_id,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,tag_duration_s,min_tag_freq,max_tag_freq,vocalization,abundance,tag_clip_status,clip_channel_used,verified_by,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,url
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 00:00:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442502
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 01:00:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442220
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 02:00:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442006
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 04:04:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442171
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 05:04:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=441896
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 05:34:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442542
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 06:04:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442321
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 07:04:00,60s None,Transcribed,841,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,8.78,2.36,0.26kHz,4.74kHz,Song,1,"",1,,-20.98,-40,2,-0.000078,-0.547607,0.392731,-5.23,-21.11,-43.13,2,0.000007,-0.386017,0.536774,-5.4,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442397
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 07:04:00,60s None,Transcribed,841,Austin Zeller,YBSA,Yellow-bellied Sapsucker,Aves,1,54.94,2.83,0.08kHz,4.79kHz,Non-vocal,1,"",1,,-22.18,-43.8,2,0.000053,-0.467987,0.352203,-6.6,-22.22,-46.61,2,-0.000034,-0.344086,0.464783,-6.66,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442397
BU,AB Woodpeckers- Time of Day,AM-423-CT,2017-05-04 08:04:00,60s None,Transcribed,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=442156
