organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-02 04:28:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-05 12:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-06 03:24:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-11 01:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-16 00:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-19 04:20:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-19 06:20:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-21 15:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-22 00:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-25 06:22:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-06-27 00:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-01 06:26:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-06 01:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-06 15:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-07 02:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-08 00:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-10 12:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-11 02:00:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-15 07:41:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-14-2,2019-07-16 07:43:00,-111.137029,55.532854,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
