organization,location,recording_date,audio_length,scientific_name,window_start_time,window_end_time,confidence
BU,BG-14-2,2019-06-02 04:28:00,180,Platysteira blissetti,3.00,6.00,50.4
BU,BG-14-2,2019-06-02 04:28:00,180,Poecile gambeli,15.00,18.00,43.6
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,15.00,18.00,41.3
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,24.00,27.00,47.8
BU,BG-14-2,2019-06-02 04:28:00,180,Poecile gambeli,27.00,30.00,47.6
BU,BG-14-2,2019-06-02 04:28:00,180,Emberiza cirlus,45.00,48.00,40.8
BU,BG-14-2,2019-06-02 04:28:00,180,Cyphorhinus thoracicus,51.00,54.00,52.4
BU,BG-14-2,2019-06-02 04:28:00,180,Platysteira blissetti,54.00,57.00,44.4
BU,BG-14-2,2019-06-02 04:28:00,180,Platysteira blissetti,60.00,63.00,64.2
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,66.00,69.00,40.1
BU,BG-14-2,2019-06-02 04:28:00,180,Tijuca atra,72.00,75.00,57.7
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,75.00,78.00,53.7
BU,BG-14-2,2019-06-02 04:28:00,180,Cyphorhinus thoracicus,84.00,87.00,42.8
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,84.00,87.00,52.3
BU,BG-14-2,2019-06-02 04:28:00,180,Cyphorhinus thoracicus,105.00,108.00,40.8
BU,BG-14-2,2019-06-02 04:28:00,180,Tijuca atra,108.00,111.00,42.7
BU,BG-14-2,2019-06-02 04:28:00,180,Tijuca atra,114.00,117.00,44.1
BU,BG-14-2,2019-06-02 04:28:00,180,Zonotrichia albicollis,168.00,171.00,44.4
BU,BG-14-2,2019-06-05 12:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-06 03:24:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-11 01:00:00,180,Phaps chalcoptera,57.00,60.00,40.8
BU,BG-14-2,2019-06-11 01:00:00,180,Turnix sylvaticus,126.00,129.00,56.9
BU,BG-14-2,2019-06-11 01:00:00,180,Tympanuchus cupido,126.00,129.00,50.3
BU,BG-14-2,2019-06-11 01:00:00,180,Phaps chalcoptera,126.00,129.00,57.9
BU,BG-14-2,2019-06-16 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,3.00,6.00,48.9
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,12.00,15.00,73.5
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,21.00,24.00,44.7
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,27.00,30.00,76.8
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus fuscater,57.00,60.00,41.8
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,57.00,60.00,47.0
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,66.00,69.00,56.3
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,90.00,93.00,47.1
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,99.00,102.00,57.9
BU,BG-14-2,2019-06-19 04:20:00,180,Chersophilus duponti,99.00,102.00,42.9
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,114.00,117.00,86.7
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus frantzii,129.00,132.00,42.7
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,129.00,132.00,79.2
BU,BG-14-2,2019-06-19 04:20:00,180,Chersophilus duponti,138.00,141.00,40.9
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,138.00,141.00,87.6
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,159.00,162.00,82.9
BU,BG-14-2,2019-06-19 04:20:00,180,Catharus guttatus,174.00,177.00,65.5
BU,BG-14-2,2019-06-19 06:20:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-21 15:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-22 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-06-25 06:22:00,180,Spizella pallida,57.00,60.00,41.2
BU,BG-14-2,2019-06-25 06:22:00,180,Zonotrichia albicollis,84.00,87.00,42.6
BU,BG-14-2,2019-06-25 06:22:00,180,Spizella pallida,93.00,96.00,45.3
BU,BG-14-2,2019-06-25 06:22:00,180,Spizella pallida,129.00,132.00,60.3
BU,BG-14-2,2019-06-25 06:22:00,180,Zoothera aurea,132.00,135.00,60.5
BU,BG-14-2,2019-06-25 06:22:00,180,Spizella pallida,177.00,180.00,55.4
BU,BG-14-2,2019-06-27 00:00:00,600,Upucerthia validirostris,126.00,129.00,56.8
BU,BG-14-2,2019-06-27 00:00:00,600,Upucerthia validirostris,150.00,153.00,45.5
BU,BG-14-2,2019-07-01 06:26:00,180,Catharus guttatus,0.00,3.00,41.7
BU,BG-14-2,2019-07-01 06:26:00,180,Catharus guttatus,165.00,168.00,45.3
BU,BG-14-2,2019-07-01 06:26:00,180,Catharus guttatus,171.00,174.00,40.8
BU,BG-14-2,2019-07-06 01:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-06 15:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-07 02:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-08 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-10 12:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-11 02:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-15 07:41:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-14-2,2019-07-16 07:43:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-02 21:59:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-04 21:01:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-05 04:55:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-06 22:03:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-10 23:07:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-16 00:00:00,600,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-18 21:12:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-19 01:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-22 01:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-22 23:13:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-27 01:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-28 07:23:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-06-29 03:24:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-07-01 12:00:00,180,*NOT GENERATED/FOUND*,,,
BU,BG-15-10,2019-07-08 02:00:00,180,*NOT GENERATED/FOUND*,,,
