organization,project_name,location,recording_date,method,status,observer,longitude,latitude,hide_location,buffer,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitatiohourly_wind_speed,hourly_visibility_km,hourly_station_pressuren_mm,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,url,source_file_name,observer_id
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-05 04:30:00,60s None,Transcribed,Austin Zeller,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-27.67,-45.69,2,-0.000006,-0.079658,0.07885,-21.98,-28.21,-46.22,2,-0.000006,-0.078854,0.070629,-22.06,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358763,SAAM-0034-01_20160505_043000.wac,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-05 13:00:00,60s None,Transcribed,Austin Zeller,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-22.67,-47.18,2,-0.000007,-0.251648,0.221008,-11.98,-23.07,-47.83,3,-0.000006,-0.495239,0.999969,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358764,SAAM-34-1_20160505_130000.wav,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-05 13:00:00,60s None,New,Alice Pearson,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-22.67,-47.18,2,-0.000007,-0.251648,0.221008,-11.98,-23.07,-47.83,3,-0.000006,-0.495239,0.999969,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=354763,SAAM-34-1_20160505_130000.wav,1041
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-07 02:30:00,60s None,Transcribed,Austin Zeller,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-44.21,-49.36,2,-0.000006,-0.022156,0.023651,-32.52,-44.79,-49.58,2,-0.000005,-0.032928,0.02829,-29.65,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358765,SAAM-34-1_20160507_023000.wav,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-07 02:30:00,60s None,New,Alice Pearson,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-44.21,-49.36,2,-0.000006,-0.022156,0.023651,-32.52,-44.79,-49.58,2,-0.000005,-0.032928,0.02829,-29.65,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=354764,SAAM-34-1_20160507_023000.wav,1041
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-07 05:15:00,60s None,Transcribed,Austin Zeller,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-39.79,-49.16,2,-0.000006,-0.036835,0.029694,-28.67,-42.77,-49.42,2,-0.000005,-0.025421,0.024628,-31.9,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358766,SAAM-34-1_20160507_051500.wav,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-34-1,2016-05-07 05:15:00,60s None,New,Alice Pearson,-115.927141,51.249900,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.08),-39.79,-49.16,2,-0.000006,-0.036835,0.029694,-28.67,-42.77,-49.42,2,-0.000005,-0.025421,0.024628,-31.9,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=354765,SAAM-34-1_20160507_051500.wav,1041
BU,Zeller- Woodpeckers- BU 2021,SAAM-35-1,2016-05-07 08:00:00,60s None,New,Alice Pearson,-115.484417,51.202324,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.09),-16.01,-35.24,2,-0.000004,-0.385498,0.327881,-8.28,-16.94,-36.3,2,-0.000004,-0.339203,0.3125,-9.39,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=354777,SAAM-35-1_20160507_080000.wav,1041
BU,Zeller- Woodpeckers- BU 2021,SAAM-35-1,2016-05-07 08:00:00,60s None,Transcribed,Austin Zeller,-115.484417,51.202324,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,Wildlife Acoustics+SM2+(CP.09),-16.01,-35.24,2,-0.000004,-0.385498,0.327881,-8.28,-16.94,-36.3,2,-0.000004,-0.339203,0.3125,-9.39,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358778,SAAM-35-1_20160507_080000.wav,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-36-1,2016-05-07 09:30:00,60s None,New,Alice Pearson,-115.352229,50.867176,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,-32.13,-52.23,2,-0.000005,-0.070709,0.061615,-23.01,-24.53,-52.13,2,-0.000006,-0.159058,0.160309,-15.9,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=354792,SAAM-36-1_20160507_093000.wav,1041
BU,Zeller- Woodpeckers- BU 2021,SAAM-36-1,2016-05-07 09:30:00,60s None,Transcribed,Austin Zeller,-115.352229,50.867176,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,-32.13,-52.23,2,-0.000005,-0.070709,0.061615,-23.01,-24.53,-52.13,2,-0.000006,-0.159058,0.160309,-15.9,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358793,SAAM-36-1_20160507_093000.wav,841
BU,Zeller- Woodpeckers- BU 2021,SAAM-36-1,2016-05-07 18:00:00,60s None,Transcribed,Austin Zeller,-115.352229,50.867176,"","",No daily weather within 165km,"","",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,-2.73,-49.18,,-0.000002,-1,0.999969,0,-2.9,-48.72,,-0.000006,-1,0.999969,0,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=358794,SAAM-36-1_20160507_180000.wav,841
