"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"2","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"3","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"4","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"5","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"6","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"7","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"8","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"9","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"10","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"11","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"12","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"13","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"14","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"15","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"16","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"17","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"18","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"19","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"20","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"21","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"22","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"23","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"24","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"25","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"26","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"27","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"28","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"29","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"30","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"31","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"32","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"33","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"34","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"35","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"36","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"37","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"38","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"39","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"40","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"41","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"42","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"43","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"44","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"45","AM-423-NW",529,"meters",-110.5829,55.818921,TRUE
"46","AM-425-NE",641,"meters",-111.142482,55.931393,TRUE
"47","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"48","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"49","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"50","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"51","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"52","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"53","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"54","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"55","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"56","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"57","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"58","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"59","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"60","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"61","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"62","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"63","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"64","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"65","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"66","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"67","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"68","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"69","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"70","AM-426-NE",468,"meters",-110.521149,55.891998,TRUE
"71","OG-4-12-A",570,"meters",-110.224571,54.605549,TRUE
"72","OG-4-12-C",570,"meters",-110.228105,54.607782,TRUE
"73","OG-4-12-A",570,"meters",-110.224571,54.605549,TRUE
"74","OG-4-12-C",570,"meters",-110.228105,54.607782,TRUE
"75","OG-4-12-A",570,"meters",-110.224571,54.605549,TRUE
"76","OG-4-12-C",570,"meters",-110.228105,54.607782,TRUE
"77","OG-4-12-A",570,"meters",-110.224571,54.605549,TRUE
"78","OG-4-12-C",570,"meters",-110.228105,54.607782,TRUE
"79","OG-4-12-A",570,"meters",-110.224571,54.605549,TRUE
"80","OG-4-12-C",570,"meters",-110.228105,54.607782,TRUE
