"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1","633-SW",575,"meters",-112.23922,55.970794,TRUE
"2","633-SW",575,"meters",-112.23922,55.970794,TRUE
"3","633-SW",575,"meters",-112.23922,55.970794,TRUE
"4","791-SW",575,"meters",-112.23311,55.034576,TRUE
"5","633-SW",575,"meters",-112.23922,55.970794,TRUE
"6","791-SW",575,"meters",-112.23311,55.034576,TRUE
"7","633-SW",575,"meters",-112.23922,55.970794,TRUE
"8","791-SW",575,"meters",-112.23311,55.034576,TRUE
"9","633-SW",575,"meters",-112.23922,55.970794,TRUE
"10","791-SW",575,"meters",-112.23311,55.034576,TRUE
"11","633-SW",575,"meters",-112.23922,55.970794,TRUE
"12","791-SW",575,"meters",-112.23311,55.034576,TRUE
"13","633-SW",575,"meters",-112.23922,55.970794,TRUE
"14","791-SW",575,"meters",-112.23311,55.034576,TRUE
"15","633-SW",575,"meters",-112.23922,55.970794,TRUE
"16","791-SW",575,"meters",-112.23311,55.034576,TRUE
"17","633-SW",575,"meters",-112.23922,55.970794,TRUE
"18","791-SW",575,"meters",-112.23311,55.034576,TRUE
"19","633-SW",575,"meters",-112.23922,55.970794,TRUE
"20","791-SW",575,"meters",-112.23311,55.034576,TRUE
"21","236-NW",220,"meters",-112.436066,58.374332,TRUE
"22","330-NW",300,"meters",-110.962219,57.668617,TRUE
"23","3-NW",214,"meters",-111.849083,59.94268,TRUE
"24","600-NW",479,"meters",-112.548492,56.176391,TRUE
"25","791-NW",575,"meters",-112.233109,55.034576,TRUE
"26","857-NW",595,"meters",-111.759758,54.640964,TRUE
"27","991-NW",613,"meters",-111.167091,53.823879,TRUE
"28","236-NW",220,"meters",-112.436066,58.374332,TRUE
"29","330-NW",300,"meters",-110.962219,57.668617,TRUE
"30","3-NW",214,"meters",-111.849083,59.94268,TRUE
"31","600-NW",479,"meters",-112.548492,56.176391,TRUE
"32","791-NW",575,"meters",-112.233109,55.034576,TRUE
"33","857-NW",595,"meters",-111.759758,54.640964,TRUE
"34","991-NW",613,"meters",-111.167091,53.823879,TRUE
"35","633-SW",575,"meters",-112.23922,55.970794,TRUE
"36","791-SW",575,"meters",-112.23311,55.034576,TRUE
"37","236-NW",220,"meters",-112.436066,58.374332,TRUE
"38","330-NW",300,"meters",-110.962219,57.668617,TRUE
"39","3-NW",214,"meters",-111.849083,59.94268,TRUE
"40","600-NW",479,"meters",-112.548492,56.176391,TRUE
"41","791-NW",575,"meters",-112.233109,55.034576,TRUE
"42","857-NW",595,"meters",-111.759758,54.640964,TRUE
"43","991-NW",613,"meters",-111.167091,53.823879,TRUE
"44","236-NW",220,"meters",-112.436066,58.374332,TRUE
"45","330-NW",300,"meters",-110.962219,57.668617,TRUE
"46","3-NW",214,"meters",-111.849083,59.94268,TRUE
"47","600-NW",479,"meters",-112.548492,56.176391,TRUE
"48","791-NW",575,"meters",-112.233109,55.034576,TRUE
"49","857-NW",595,"meters",-111.759758,54.640964,TRUE
"50","991-NW",613,"meters",-111.167091,53.823879,TRUE
"51","633-SW",575,"meters",-112.23922,55.970794,TRUE
"52","791-SW",575,"meters",-112.23311,55.034576,TRUE
"53","236-NW",220,"meters",-112.436066,58.374332,TRUE
