"","location","latitude","longitude","recording_date","PIWO","PIWOdrum","PIWOcall","drum_rate","julian","week","elevation","snowcover","daily_min_temp","daily_max_temp","daily_mean_temp","NormalTemp","TSSR","azimuth","daily_precipitation_mm","DaysSinceGUP","daylength"
"1","236-NW",58.374332,-112.436066,2015-03-26,0,0,0,0,85,13,220,0.765625,-13.5,3.9,-4.8,NA,-7.26472222222222,1.22332425813081,0.3,NA,12.6919444444444
"2","330-NW",57.668617,-110.962219,2015-03-26,0,0,0,0,85,13,300,0.9326171875,-5.3,6,0.4,NA,-7.17527777777778,1.2490906889412,0.2,NA,12.6744444444444
"3","3-NW",59.94268,-111.849083,2015-03-26,0,0,0,0,85,13,214,0.8857421875,-14.2,5.4,-4.4,NA,-7.20527777777778,1.2263174709953,0,NA,12.7325
"4","600-NW",56.176391,-112.548492,2015-03-26,0,0,0,0,85,13,479,0.5419921875,-4.9,6.8,1,NA,-7.29805555555556,1.23086707794223,0.5,NA,12.6405555555556
"5","791-NW",55.034576,-112.233109,2015-03-26,0,0,0,0,85,13,575,0.9375,-0.6,5.2,2.3,NA,-7.28916666666667,1.24069647860234,0.7,NA,12.6161111111111
"6","857-NW",54.640964,-111.759758,2015-03-26,0,0,0,0,85,13,595,0.7607421875,-2.6,4,0.7,NA,-7.26166666666667,1.2495958904428,0.5,NA,12.6080555555556
"7","991-NW",53.823879,-111.167091,2015-03-26,0,0,0,0,85,13,613,0.984375,-5,4.1,-0.5,NA,-7.23027777777778,1.2620816783536,0,NA,12.5919444444444
"8","236-NW",58.374332,-112.436066,2015-03-27,0,0,0,0,86,13,220,0.765625,-8.6,8.3,-0.2,NA,-7.21694444444444,1.22799811828043,0,NA,12.7772222222222
"9","330-NW",57.668617,-110.962219,2015-03-27,0,0,0,0,86,13,300,0.9326171875,1,6.3,3.7,NA,-7.12861111111111,1.25384414758613,0.4,NA,12.7575
"10","3-NW",59.94268,-111.849083,2015-03-27,0,0,0,0,86,13,214,0.8857421875,-6.8,10.6,1.9,NA,-7.15472222222222,1.23083896188736,0,NA,12.8233333333333
"11","600-NW",56.176391,-112.548492,2015-03-27,1,1,0,1,86,13,479,0.5419921875,0.5,6.6,3.6,NA,-7.25333333333333,1.23575764145431,0.3,NA,12.7191666666667
"12","791-NW",55.034576,-112.233109,2015-03-27,0,0,0,0,86,13,575,0.9375,-1.6,16.1,7.3,NA,-7.24611111111111,1.24570007119327,0,NA,12.6916666666667
"13","857-NW",54.640964,-111.759758,2015-03-27,0,0,0,0,86,13,595,0.7607421875,-2.6,14.5,6,NA,-7.21916666666667,1.25463951354191,0,NA,12.6825
"14","991-NW",53.823879,-111.167091,2015-03-27,0,0,0,0,86,13,613,0.984375,-1.5,13.3,5.9,NA,-7.18888888888889,1.26720540631799,0,NA,12.6638888888889
"15","236-NW",58.374332,-112.436066,2015-03-28,0,0,0,0,87,13,220,0.765625,-4.4,10.8,3.2,NA,-7.16888888888889,1.23267726435361,0,NA,12.8627777777778
"16","330-NW",57.668617,-110.962219,2015-03-28,1,1,0,4,87,13,300,0.9326171875,0.8,11.6,6.2,NA,-7.08166666666667,1.25860226704069,0.6,NA,12.8405555555556
"17","3-NW",59.94268,-111.849083,2015-03-28,0,0,0,0,87,13,214,0.8857421875,-4.7,8.4,1.9,NA,-7.10388888888889,1.23536517960796,0,NA,12.9144444444444
"18","600-NW",56.176391,-112.548492,2015-03-28,1,1,0,1,87,13,479,0.5419921875,0.7,11.2,6,NA,-7.20888888888889,1.24065390824503,6.3,NA,12.7977777777778
"19","791-NW",55.034576,-112.233109,2015-03-28,0,0,0,0,87,13,575,0.9375,1.3,10.6,6,NA,-7.20333333333333,1.25070934996773,0.3,NA,12.7666666666667
"20","857-NW",54.640964,-111.759758,2015-03-28,0,0,0,0,87,13,595,0.7607421875,-0.4,9.4,4.5,NA,-7.17694444444444,1.2596886007918,0,NA,12.7563888888889
"21","991-NW",53.823879,-111.167091,2015-03-28,0,0,0,0,87,13,613,0.984375,-2.7,9.6,3.5,NA,-7.14777777777778,1.27233433561731,0,NA,12.7358333333333
"22","236-NW",58.374332,-112.436066,2015-03-29,0,0,0,0,88,13,220,0.765625,-9.2,5.2,-2,NA,-7.12083333333333,1.23735963733771,0,NA,12.9483333333333
"23","330-NW",57.668617,-110.962219,2015-03-29,0,0,0,0,88,13,300,0.9326171875,-2.1,10.2,4.1,NA,-7.035,1.26336297692938,0,NA,12.9236111111111
"24","3-NW",59.94268,-111.849083,2015-03-29,1,1,0,2,88,13,214,0.8857421875,-8,4,-2,NA,-7.05305555555556,1.23989409693116,0,NA,13.0055555555556
"25","600-NW",56.176391,-112.548492,2015-03-29,0,0,0,0,88,13,479,0.5419921875,-2.8,10.6,3.9,NA,-7.16444444444444,1.24555377530414,0,NA,12.8761111111111
"26","791-NW",55.034576,-112.233109,2015-03-29,0,0,0,0,88,13,575,0.9375,-2.3,13.8,5.8,NA,-7.16055555555556,1.25572218998367,0,NA,12.8419444444444
"27","857-NW",54.640964,-111.759758,2015-03-29,0,0,0,0,88,13,595,0.7607421875,-3,13.3,5.2,NA,-7.13472222222222,1.26474102083168,1.7,NA,12.8302777777778
"28","991-NW",53.823879,-111.167091,2015-03-29,0,0,0,0,88,13,613,0.984375,-3.8,14.1,5.2,NA,-7.10666666666667,1.27746632087815,0,NA,12.8075
"29","236-NW",58.374332,-112.436066,2015-03-30,0,0,0,0,89,13,220,0.765625,-3.2,4.1,0.5,NA,-7.07305555555556,1.24204317395875,0,NA,13.0336111111111
"30","330-NW",57.668617,-110.962219,2015-03-30,0,0,0,0,89,13,300,0.9326171875,-2,12,5,NA,-6.98833333333333,1.26812420328121,0,NA,13.0066666666667
"31","3-NW",59.94268,-111.849083,2015-03-30,0,0,0,0,89,13,214,0.8857421875,-4,7.6,1.8,NA,-7.0025,1.2444236830931,0,NA,13.0963888888889
"32","600-NW",56.176391,-112.548492,2015-03-30,0,0,0,0,89,13,479,0.5419921875,-0.1,13.3,6.6,NA,-7.12027777777778,1.25045513480993,0,NA,12.9541666666667
"33","791-NW",55.034576,-112.233109,2015-03-30,0,0,0,0,89,13,575,0.9375,2.5,12.8,7.7,NA,-7.11777777777778,1.26073646148197,0,NA,12.9169444444444
"34","857-NW",54.640964,-111.759758,2015-03-30,0,0,0,0,89,13,595,0.7607421875,-0.8,11.6,5.4,NA,-7.0925,1.26979463772121,0,NA,12.9044444444444
"35","991-NW",53.823879,-111.167091,2015-03-30,0,0,0,0,89,13,613,0.984375,-0.9,12.6,5.9,NA,-7.06555555555556,1.28259921242423,0,NA,12.8791666666667
"36","236-NW",58.374332,-112.436066,2015-03-31,1,1,0,1,90,13,220,0.765625,-5,6.3,0.7,NA,-7.02527777777778,1.24672580743784,0,NA,13.1188888888889
"37","330-NW",57.668617,-110.962219,2015-03-31,0,0,0,0,90,13,300,0.9326171875,-0.5,6.8,3.2,NA,-6.94166666666667,1.27288386928756,3,NA,13.0894444444444
"38","3-NW",59.94268,-111.849083,2015-03-31,1,1,0,2,90,13,214,0.8857421875,-6,3.1,-1.5,NA,-6.95194444444444,1.24895190454196,0,NA,13.1872222222222
"39","600-NW",56.176391,-112.548492,2015-03-31,1,1,0,5,90,13,479,0.5419921875,-1,10.9,5,NA,-7.07583333333333,1.25535587489778,0.3,NA,13.0325
"40","791-NW",55.034576,-112.233109,2015-03-31,0,0,0,0,90,13,575,0.9375,3,16,9.5,NA,-7.07527777777778,1.26575003066229,0,NA,12.9916666666667
"41","857-NW",54.640964,-111.759758,2015-03-31,0,0,0,0,90,13,595,0.7607421875,-0.9,14.4,6.8,NA,-7.05055555555556,1.27484731171812,0,NA,12.9780555555556
"42","236-NW",58.374332,-112.436066,2015-04-01,0,0,0,0,91,13,220,0.765625,-12.1,-3.5,-7.8,NA,-6.9775,1.25140546820949,0,NA,13.2041666666667
"43","330-NW",57.668617,-110.962219,2015-04-01,0,0,0,0,91,13,300,0.9326171875,-7,1.8,-2.6,NA,-6.895,1.27763989602155,0.2,NA,13.1725
"44","3-NW",59.94268,-111.849083,2015-04-01,0,0,0,0,91,13,214,0.8857421875,-15.2,-3.8,-9.5,NA,-6.90138888888889,1.25347672564917,0,NA,13.2780555555556
"45","600-NW",56.176391,-112.548492,2015-04-01,0,0,0,0,91,13,479,0.5419921875,-5.1,4,-0.6,NA,-7.03166666666667,1.26025388039104,0,NA,13.1108333333333
"46","791-NW",55.034576,-112.233109,2015-04-01,0,0,0,0,91,13,575,0.9375,-4.4,3.8,-0.3,NA,-7.0325,1.27076076042105,27.2,NA,13.0666666666667
"47","857-NW",54.640964,-111.759758,2015-04-01,0,0,0,0,91,13,595,0.7607421875,-5,2.6,-1.2,NA,-7.00833333333333,1.27989690001804,16.3,NA,13.0519444444444
"48","991-NW",53.823879,-111.167091,2015-04-01,0,0,0,0,91,13,613,0.984375,-2.5,2.9,0.2,NA,-6.98361111111111,1.2928590988074,2.9,NA,13.0225
"49","236-NW",58.374332,-112.436066,2015-04-02,0,0,0,0,92,14,220,0.765625,-16.1,-8.6,-12.4,NA,-6.92972222222222,1.25608008463367,0,NA,13.2894444444444
"50","3-NW",59.94268,-111.849083,2015-04-02,0,0,0,0,92,14,214,0.8857421875,-21,-7.3,-14.2,NA,-6.85083333333333,1.25799610941434,0,NA,13.3688888888889
"51","600-NW",56.176391,-112.548492,2015-04-02,0,0,0,0,92,14,479,0.5419921875,-6,-0.6,-3.3,NA,-6.9875,1.26514703352535,0,NA,13.1888888888889
"52","791-NW",55.034576,-112.233109,2015-04-02,0,0,0,0,92,14,575,0.9375,-9.8,-1.7,-5.8,NA,-6.99,1.27576651108276,1.1,NA,13.1416666666667
"53","857-NW",54.640964,-111.759758,2015-04-02,0,0,0,0,92,14,595,0.7607421875,-10.3,-0.9,-5.6,NA,-6.96638888888889,1.28494125748723,0.9,NA,13.1258333333333
"54","991-NW",53.823879,-111.167091,2015-04-02,0,0,0,0,92,14,613,0.984375,-6.5,3.1,-1.7,NA,-6.94277777777778,1.29798177965786,0.6,NA,13.0938888888889
"55","236-NW",58.374332,-112.436066,2015-04-03,0,0,0,0,93,14,220,0.765625,-21.7,-9.3,-15.5,NA,-6.88222222222222,1.26074758378636,0,NA,13.3744444444444
"56","330-NW",57.668617,-110.962219,2015-04-03,0,0,0,0,93,14,300,0.9326171875,-11.8,-0.4,-6.1,NA,-6.80194444444444,1.2871327097262,0.3,NA,13.3383333333333
"57","3-NW",59.94268,-111.849083,2015-04-03,0,0,0,0,93,14,214,0.8857421875,-23.3,-7.9,-15.6,NA,-6.80027777777778,1.26250801824954,0,NA,13.4597222222222
"58","600-NW",56.176391,-112.548492,2015-04-03,0,0,0,0,93,14,479,0.5419921875,-7.9,-0.1,-4,NA,-6.94333333333333,1.2700332147495,0,NA,13.2669444444444
"59","791-NW",55.034576,-112.233109,2015-04-03,0,0,0,0,93,14,575,0.9375,-6.4,1.8,-2.3,NA,-6.94777777777778,1.28076514120636,1.4,NA,13.2161111111111
"60","857-NW",54.640964,-111.759758,2015-04-03,0,0,0,0,93,14,595,0.7607421875,-6.6,2.5,-2.1,NA,-6.92472222222222,1.2899782374696,1.4,NA,13.1991666666667
"61","991-NW",53.823879,-111.167091,2015-04-03,0,0,0,0,93,14,613,0.984375,-4.2,6.9,1.4,NA,-6.90194444444444,1.30309674036667,0.4,NA,13.1655555555556
"62","236-NW",58.374332,-112.436066,2015-04-04,0,0,0,0,94,14,220,0.765625,-22,-4.5,-13.3,NA,-6.83444444444444,1.26540589219752,0,NA,13.4597222222222
"63","330-NW",57.668617,-110.962219,2015-04-04,0,0,0,0,94,14,300,0.9326171875,-12.9,0,-6.5,NA,-6.75555555555556,1.29186533491969,0.2,NA,13.4211111111111
"64","3-NW",59.94268,-111.849083,2015-04-04,0,0,0,0,94,14,214,0.8857421875,-22.4,-5.8,-14.1,NA,-6.75,1.26701041471043,0,NA,13.5505555555556
"65","600-NW",56.176391,-112.548492,2015-04-04,0,0,0,0,94,14,479,0.5419921875,-11.4,-0.4,-5.9,NA,-6.89916666666667,1.27491030347428,0,NA,13.3452777777778
"66","791-NW",55.034576,-112.233109,2015-04-04,0,0,0,0,94,14,575,0.9375,-13,0.6,-6.2,NA,-6.90527777777778,1.28575450833961,0.2,NA,13.2911111111111
"67","857-NW",54.640964,-111.759758,2015-04-04,0,0,0,0,94,14,595,0.7607421875,-11,3.3,-3.9,NA,-6.88277777777778,1.29500569254173,0,NA,13.2730555555556
"68","991-NW",53.823879,-111.167091,2015-04-04,0,0,0,0,94,14,613,0.984375,-4.4,4,-0.2,NA,-6.86138888888889,1.30820182121819,0,NA,13.2366666666667
"69","330-NW",57.668617,-110.962219,2015-04-05,0,0,0,0,95,14,300,0.9326171875,-12.9,-2.5,-7.7,NA,-6.70944444444444,1.29658599879723,0,NA,13.5036111111111
"70","3-NW",59.94268,-111.849083,2015-04-05,0,0,0,0,95,14,214,0.8857421875,-24.8,-7.7,-16.3,NA,-6.69972222222222,1.27150126226681,0,NA,13.6411111111111
"71","857-NW",54.640964,-111.759758,2015-04-05,0,0,0,0,95,14,595,0.7607421875,-9,0.1,-4.5,NA,-6.84111111111111,1.30002147530346,0,NA,13.3463888888889
"72","991-NW",53.823879,-111.167091,2015-04-05,0,0,0,0,95,14,613,0.984375,-8.1,3.4,-2.4,NA,-6.82083333333333,1.31329486281654,0,NA,13.3080555555556
"73","600-NW",56.176391,-112.548492,2015-04-05,0,0,0,0,95,14,479,0.5419921875,-16.4,-2.2,-9.3,NA,-6.85527777777778,1.27977617885852,NA,NA,13.4230555555556
"74","236-NW",58.374332,-112.436066,2015-04-06,0,0,0,0,96,14,220,0.765625,-20.9,-0.7,-10.8,NA,-6.73972222222222,1.27468664483116,0,NA,13.6297222222222
"75","330-NW",57.668617,-110.962219,2015-04-06,0,0,0,0,96,14,300,0.9326171875,-12.4,7.2,-2.6,NA,-6.66333333333333,1.30129262307896,0,NA,13.5861111111111
"76","3-NW",59.94268,-111.849083,2015-04-06,0,0,0,0,96,14,214,0.8857421875,-18.5,1.2,-8.7,NA,-6.64944444444444,1.27597852605917,0,NA,13.7319444444444
"77","791-NW",55.034576,-112.233109,2015-04-06,0,0,0,0,96,14,575,0.9375,-5.3,5.4,0.1,NA,-6.82111111111111,1.29569688349936,0.2,NA,13.44
"78","857-NW",54.640964,-111.759758,2015-04-06,0,0,0,0,96,14,595,0.7607421875,-5.9,6,0.1,NA,-6.79972222222222,1.30502343915361,0.9,NA,13.4197222222222
"79","991-NW",53.823879,-111.167091,2015-04-06,0,0,0,0,96,14,613,0.984375,-5.1,7.2,1.1,NA,-6.78055555555556,1.31837370686224,0,NA,13.3788888888889
"80","236-NW",58.374332,-112.436066,2015-04-07,0,0,0,0,97,14,220,0.765625,-2.9,9.4,3.3,NA,-6.6925,1.27930494642203,0,NA,13.7144444444444
"81","330-NW",57.668617,-110.962219,2015-04-07,0,0,0,0,97,14,300,0.9326171875,-1.9,10.1,4.1,NA,-6.61722222222222,1.30598313200031,0,NA,13.6686111111111
"82","3-NW",59.94268,-111.849083,2015-04-07,0,0,0,0,97,14,214,0.8857421875,-5.3,10.2,2.5,NA,-6.59916666666667,1.28044017376056,0,NA,13.8227777777778
"83","600-NW",56.176391,-112.548492,2015-04-07,1,1,0,4,97,14,479,0.5419921875,-4.1,9,2.5,NA,-6.76777777777778,1.28946580971329,0,NA,13.5788888888889
"84","857-NW",54.640964,-111.759758,2015-04-07,0,0,0,0,97,14,595,0.7607421875,-4.2,0.6,-1.8,NA,-6.75805555555556,1.31000943916362,1.6,NA,13.4930555555556
"85","991-NW",53.823879,-111.167091,2015-04-07,0,0,0,0,97,14,613,0.984375,-5.3,1.6,-1.9,NA,-6.74,1.32343619702512,1.1,NA,13.4502777777778
"86","236-NW",58.374332,-112.436066,2015-04-08,0,0,0,0,98,14,220,0.765625,-2,8.1,3.1,NA,-6.64527777777778,1.28390577361634,0,NA,13.7994444444444
"87","3-NW",59.94268,-111.849083,2015-04-08,0,0,0,0,98,14,214,0.8857421875,-4.2,5.6,0.7,NA,-6.54916666666667,1.28488417631215,0,NA,13.9133333333333
"88","600-NW",56.176391,-112.548492,2015-04-08,0,0,0,0,98,14,479,0.5419921875,-5.4,11,2.8,NA,-6.72444444444444,1.29428532946916,0,NA,13.6561111111111
"89","791-NW",55.034576,-112.233109,2015-04-08,0,0,0,0,98,14,575,0.9375,-5.7,10,2.2,NA,-6.73722222222222,1.30557650697212,0.2,NA,13.5886111111111
"90","857-NW",54.640964,-111.759758,2015-04-08,0,0,0,0,98,14,595,0.7607421875,-7.6,11.1,1.8,NA,-6.71694444444444,1.31497733282887,0,NA,13.5661111111111
"91","991-NW",53.823879,-111.167091,2015-04-08,0,0,0,0,98,14,613,0.984375,-7.5,12.9,2.7,NA,-6.7,1.3284801796955,0,NA,13.5208333333333
"92","236-NW",58.374332,-112.436066,2015-04-09,0,0,0,0,99,15,220,0.765625,-1.2,16.9,7.9,NA,-6.59833333333333,1.28848706209681,0,NA,13.8841666666667
"93","330-NW",57.668617,-110.962219,2015-04-09,0,0,0,0,99,15,300,0.9326171875,-0.5,18.2,8.9,NA,-6.52555555555556,1.3153075178217,0.2,NA,13.8333333333333
