,Index,X,location,latitude,longitude,ARD_Name,Lat,Long
1,4,117,WLNP-16-5,49.073562,-114.026041,Akamina 2,49.0333,-114.05
2,15,10,BG-10-10,54.938323,-112.629301,Atmore AGDM,54.7802,-112.8248
3,15,14,BG-10-53,54.965997,-112.696297,Atmore AGDM,54.7802,-112.8248
4,15,11,BG-10-18,54.943724,-112.64802,Atmore AGDM,54.7802,-112.8248
5,15,13,BG-10-26,54.949447,-112.666649,Atmore AGDM,54.7802,-112.8248
6,15,17,BG-10-98,54.98679,-112.645596,Atmore AGDM,54.7802,-112.8248
7,15,12,BG-10-19,54.943535,-112.638723,Atmore AGDM,54.7802,-112.8248
8,15,16,BG-10-8,54.938306,-112.648548,Atmore AGDM,54.7802,-112.8248
9,15,15,BG-10-57,54.965357,-112.656639,Atmore AGDM,54.7802,-112.8248
10,16,131,Y-24-353-K,57.494632,-111.358779,Aurora,57.2377,-111.4075
11,16,115,RS-40-C,57.470623,-111.22666,Aurora,57.2377,-111.4075
12,16,113,RS-38-SE,57.445608,-111.384657,Aurora,57.2377,-111.4075
13,16,114,RS-40-A,57.460916,-111.234237,Aurora,57.2377,-111.4075
14,16,128,Y-23-288-CT,57.314824,-111.357391,Aurora,57.2377,-111.4075
15,16,112,RS-27-G,57.312059,-111.219013,Aurora,57.2377,-111.4075
16,16,144,Y-7-253-SW,57.471476,-111.216114,Aurora,57.2377,-111.4075
17,16,145,Y-7-262-NW,57.467246,-111.215322,Aurora,57.2377,-111.4075
18,16,129,Y-23-352-NW,57.331433,-111.327904,Aurora,57.2377,-111.4075
19,16,127,Y-23-264-A,57.38749,-111.247925,Aurora,57.2377,-111.4075
20,18,35,BG-17-83,54.75211,-118.96552,Bald Mountain Auto,54.8127,-118.9158
21,20,168,1467-SE,51.19226,-115.465797,Banff CS,51.1934,-115.5522
22,25,184,249-SE,58.670001,-118.279434,Basset  Auto,58.1952,-118.2185
23,25,185,250-SE,58.663471,-117.926727,Basset  Auto,58.1952,-118.2185
24,25,200,307-SE,58.313648,-118.707001,Basset  Auto,58.1952,-118.2185
25,25,183,249-NW,58.670001,-118.279434,Basset  Auto,58.1952,-118.2185
26,25,190,279-NW,58.451194,-118.30825,Basset  Auto,58.1952,-118.2185
27,25,191,280-NW,58.48693,-117.974716,Basset  Auto,58.1952,-118.2185
28,38,203,403-NW,57.633827,-116.425133,Bison Lake Auto,57.111,-116.5096
29,38,205,434-NE,57.452529,-116.183952,Bison Lake Auto,57.111,-116.5096
30,38,207,434-SE,57.452529,-116.183952,Bison Lake Auto,57.111,-116.5096
31,38,202,403-NE,57.633827,-116.425133,Bison Lake Auto,57.111,-116.5096
32,38,206,434-NW,57.452529,-116.183952,Bison Lake Auto,57.111,-116.5096
33,45,216,633-SW,55.970794,-112.23922,Bovine Creek AUTO,56.11,-112.55
34,50,151,1210-SW,52.939247,-114.774429,Breton Plots,53.0893,-114.4428
35,54,188,267-SW,58.177471,-112.180862,Buckton Auto,57.9428,-112.3976
36,67,201,36-NW,59.510143,-111.286217,Cambrian Auto,59.2576,-110.8046
37,67,177,19-NE,59.607685,-110.419456,Cambrian Auto,59.2576,-110.8046
38,67,215,6-NW,59.842426,-110.768616,Cambrian Auto,59.2576,-110.8046
39,67,228,93-NE,59.160793,-111.064606,Cambrian Auto,59.2576,-110.8046
40,67,217,65-SW,59.318275,-110.953598,Cambrian Auto,59.2576,-110.8046
41,84,48,BG-5-91,55.549766,-111.028927,Christina Lake near Winefred Lake,55.625,-110.7725
42,84,47,BG-5-73,55.538681,-111.011029,Christina Lake near Winefred Lake,55.625,-110.7725
